"IP","Target C2","OpenPorts","Score(Inbound/Outbound)","Country","Scan Time"
"185.233.105.109","c2_meshagent","80","Safe/Critical","RU","2024-07-29 03:14:20"
"159.203.180.92","c2_mythic","443","Low/Critical","US","2024-07-28 13:38:00"
"185.90.72.175","c2_meshagent","80","Moderate/Critical","DE","2024-07-29 03:19:25"
"74.207.229.59","c2_covenant","7443","Low/Critical","CN","2024-07-16 05:45:44"
"156.194.127.120","c2_posh","8443","Safe/Critical","AU","2024-07-18 00:12:59"
"54.88.45.75","c2_mythic","443","Low/Critical","GB","2024-07-29 03:00:52"
"52.136.201.239","c2_havoc","443","Low/Critical","KR","2024-07-24 01:26:21"
"95.217.140.35","c2_meshagent","80","Safe/Critical","DE","2024-07-30 01:18:50"
"77.91.77.72","c2_metasploit","3790","Safe/Critical","GE","2024-07-18 06:22:16"
"202.61.246.104","c2_meshagent","443","Safe/Critical","DE","2024-07-30 01:11:08"
"64.23.182.107","c2_mythic","80","Critical/Critical","DE","2024-07-29 07:29:08"
"54.255.248.29","c2_havoc","443","Low/Critical","AU","2024-07-25 10:45:45"
"159.65.223.78","c2_mythic","80","Critical/Critical","SG","2024-07-29 07:17:10"
"95.208.33.251","c2_meshagent","80","Safe/Critical","FI","2024-07-30 01:24:08"
"18.191.137.27","c2_mythic","443","Critical/Critical","AU","2024-07-29 09:07:42"
"203.126.124.230","c2_meshagent","80","Safe/Critical","US","2024-07-30 01:44:29"
"51.38.113.200","c2_covenant","7443","Moderate/Critical","US","2024-07-16 04:03:05"
"87.229.94.231","c2_metasploit","3790","Critical/Critical","CN","2024-07-18 06:43:59"
"95.177.216.242","c2_meshagent","443","Moderate/Critical","JP","2024-07-30 01:24:44"
"192.169.6.122","c2_havoc","443","Safe/Critical","US","2024-07-29 14:50:18"
"54.175.31.82","c2_mythic","80","Low/Critical","EE","2024-07-29 02:37:58"
"146.70.71.176","c2_havoc","80","Moderate/Critical","US","2024-07-27 03:17:02"
"185.229.32.95","c2_mythic","443","Safe/Critical","US","2024-07-29 10:48:16"
"164.92.79.49","c2_havoc","80","Low/Critical","NL","2024-07-25 07:09:03"
"8.140.130.129","c2_metasploit","3790","Dangerous/Critical","CN","2024-07-18 06:35:17"
"159.223.0.103","c2_havoc","443","Low/Critical","NL","2024-07-29 12:29:07"
"205.206.187.241","c2_meshagent","80","Safe/Critical","US","2024-07-30 02:25:04"
"95.54.191.207","c2_meshagent","80","Safe/Critical","US","2024-07-30 01:46:06"
"65.109.128.33","c2_metasploit","4444","Safe/Critical","SE","2024-07-29 12:02:00"
"99.117.95.211","c2_meshagent","443","Safe/Critical","CA","2024-07-30 02:14:41"
"212.87.213.113","c2_mythic","443","Safe/Critical","US","2024-07-29 01:22:37"
"95.141.199.7","c2_meshagent","80","Safe/Critical","AU","2024-07-30 01:36:09"
"158.160.84.31","c2_havoc","443","Low/Critical","BR","2024-07-29 03:44:48"
"139.59.161.102","c2_havoc","443","Low/Critical","US","2024-07-29 14:33:57"
"54.164.113.46","c2_mythic","80","Critical/Critical","US","2024-07-29 01:52:30"
"88.214.25.251","c2_metasploit","3790","Safe/Critical","DE","2024-07-18 07:17:09"
"162.243.22.15","c2_metasploit","3790","Critical/Critical","US","2024-07-29 12:40:07"
"103.195.6.58","c2_havoc","80","Safe/Critical","CH","2024-07-25 21:53:37"
"162.244.81.245","c2_metasploit","9001","Moderate/Critical","NL","2024-07-23 01:17:05"
"192.81.135.7","c2_mythic","443","Low/Critical","US","2024-07-29 16:51:31"
"161.35.239.100","c2_mythic","443","Critical/Critical","US","2024-07-29 08:34:52"
"3.22.222.55","c2_meshagent","80","Low/Critical","RU","2024-07-30 01:35:07"
"205.234.156.138","c2_metasploit","3780","Critical/Critical","US","2024-07-20 13:49:18"
"95.143.185.121","c2_meshagent","80","Moderate/Critical","US","2024-07-30 01:26:41"
"89.111.133.213","c2_metasploit","3790","Safe/Critical","DE","2024-07-18 07:26:00"
"35.233.38.208","c2_covenant","7443","Low/Critical","FR","2024-07-02 12:28:30"
"192.210.226.110","c2_metasploit","3790","Safe/Critical","FR","2024-07-18 07:42:12"
"176.31.163.140","c2_havoc","443","Low/Critical","DE","2024-07-29 02:13:37"
"77.92.95.143","c2_metasploit","3790","Critical/Critical","IR","2024-07-18 06:26:32"
"88.99.214.170","c2_metasploit","3790","Dangerous/Critical","DE","2024-07-18 07:17:11"
"77.50.224.79","c2_mythic","80","Critical/Critical","US","2024-07-30 01:46:16"
"96.252.51.245","c2_meshagent","80","Safe/Critical","US","2024-07-30 01:55:35"
"78.38.80.242","c2_metasploit","3790","Critical/Critical","GB","2024-07-18 06:22:13"
"165.227.229.96","c2_covenant","7443","Critical/Critical","US","2024-07-16 04:03:05"
"156.194.73.65","c2_posh","8443","Safe/Critical","AU","2024-07-18 00:12:59"
"61.14.210.209","c2_mythic","80","Critical/Critical","US","2024-07-31 00:46:17"
"13.55.48.44","c2_havoc","80","Low/Critical","US","2024-07-25 21:29:12"
"194.163.191.228","c2_meshagent","80","Safe/Critical","SG","2024-07-31 04:37:42"
"162.55.91.224","c2_metasploit","443","Critical/Critical","IN","2024-07-30 09:37:48"
"195.150.85.212","c2_meshagent","80","Safe/Critical","PL","2024-07-31 03:45:00"
"194.8.71.244","c2_meshagent","80","Safe/Critical","US","2024-07-31 04:31:26"
"65.2.170.133","c2_meshagent","443","Low/Critical","US","2024-07-31 04:23:21"
"193.181.23.187","c2_metasploit","6667","Safe/Critical","CN","2024-07-23 15:48:50"
"51.15.227.242","c2_mythic","443","Moderate/Critical","FR","2024-07-30 12:51:16"
"159.65.114.122","c2_havoc","80","Low/Critical","CA","2024-07-26 00:01:41"
"65.0.74.50","c2_meshagent","80","Low/Critical","US","2024-07-31 04:31:40"
"139.144.31.218","c2_mythic","7443","Critical/Critical","KR","2024-07-31 00:15:56"
"37.187.118.185","c2_mythic","443","Safe/Critical","DE","2024-07-30 19:31:16"
"65.108.88.18","c2_meshagent","80","Dangerous/Critical","US","2024-07-31 03:48:43"
"194.117.236.12","c2_meshagent","80","Safe/Critical","DE","2024-07-31 04:21:21"
"107.191.57.153","c2_havoc","443","Safe/Critical","AU","2024-07-30 14:08:33"
"18.212.47.105","c2_mythic","80","Low/Critical","US","2024-07-30 19:26:09"
"152.89.92.204","c2_havoc","443","Safe/Critical","CN","2024-07-30 07:37:53"
"198.0.170.53","c2_meshagent","80","Safe/Critical","FI","2024-07-31 04:17:41"
"139.162.201.66","c2_mythic","80","Critical/Critical","GB","2024-07-31 00:51:55"
"65.108.218.44","c2_mythic","80","Moderate/Critical","US","2024-07-31 03:19:59"
"66.94.120.122","c2_meshagent","80","Safe/Critical","US","2024-07-31 04:54:00"
"194.233.103.18","c2_meshagent","80","Safe/Critical","IN","2024-07-31 04:16:58"
"107.161.22.118","c2_mythic","80","Critical/Critical","US","2024-07-30 12:45:22"
"66.179.249.49","c2_meshagent","80","Safe/Critical","GB","2024-07-31 04:01:54"
"45.33.116.110","c2_covenant","7443","Low/Critical","GB","2024-07-30 09:09:24"
"80.82.77.211","c2_havoc","80","Safe/Critical","US","2024-07-30 23:44:49"
"138.197.37.104","c2_havoc","443","Low/Critical","US","2024-07-29 23:01:46"
"195.20.133.87","c2_meshagent","443","Safe/Critical","ES","2024-07-31 05:45:46"
"144.24.16.54","c2_havoc","80","Critical/Critical","US","2024-07-26 20:46:22"
"172.233.121.249","c2_havoc","443","Low/Critical","ES","2024-07-30 08:09:03"
"178.18.254.10","c2_covenant","7443","Safe/Critical","US","2024-07-30 08:19:01"
"195.221.140.35","c2_meshagent","80","Safe/Critical","CA","2024-07-31 04:45:03"
"161.35.239.147","c2_havoc","443","Low/Critical","FR","2024-07-29 09:51:10"
"193.31.116.186","C2","443","Moderate/Critical","TR","2024-07-31 03:50:00"
"66.38.98.47","c2_meshagent","80","Dangerous/Critical","FI","2024-07-31 03:56:05"
"66.228.142.69","c2_meshagent","443","Safe/Critical","FR","2024-07-31 04:39:25"
"79.137.34.141","c2_metasploit","3790","Safe/Critical","RU","2024-07-18 07:14:47"
"155.138.144.27","c2_havoc","80","Safe/Critical","DE","2024-07-26 01:15:08"
"163.172.234.8","c2_havoc","443","Safe/Critical","NL","2024-07-29 12:29:07"
"66.23.215.197","c2_meshagent","80","Safe/Critical","US","2024-07-31 04:39:11"
"91.198.77.194","c2_metasploit","3790","Safe/Critical","NL","2024-07-18 07:42:10"
"137.184.45.196","c2_havoc","80","Low/Critical","PK","2024-07-29 20:44:48"
"185.228.234.171","c2_havoc","443","Safe/Critical","US","2024-07-29 08:33:50"
"88.80.187.129","c2_mythic","80","Critical/Critical","SE","2024-07-30 21:39:07"
"66.254.94.213","c2_meshagent","443","Safe/Critical","US","2024-07-31 04:11:35"
"198.111.165.234","c2_meshagent","443","Safe/Critical","RO","2024-07-31 04:16:37"
"54.79.123.238","c2_posh","443","Low/Critical","EG","2024-07-22 19:55:17"
"47.116.25.208","c2_covenant","7443","Dangerous/Critical","US","2024-07-30 06:49:45"
"156.194.251.137","c2_posh","443","Safe/Critical","EG","2024-07-21 10:19:27"
"212.47.237.233","c2_mythic","443","Moderate/Critical","AR","2024-07-31 10:02:01"
"154.38.167.90","c2_havoc","443","Safe/Critical","BR","2024-07-30 11:52:38"
"165.22.216.48","c2_meshagent","80","Low/Critical","CZ","2024-07-31 14:19:03"
"139.196.124.207","c2_metasploit","80","Safe/Critical","RU","2024-07-31 00:26:59"
"104.248.120.16","c2_meshagent","80","Low/Critical","FR","2024-07-31 13:16:26"
"89.111.133.213","c2_metasploit","3790","Safe/Critical","FR","2024-07-18 07:26:01"
"162.244.81.245","c2_metasploit","6667","Moderate/Critical","CN","2024-07-23 15:48:50"
"162.245.182.95","c2_meshagent","80","Moderate/Critical","HU","2024-07-31 13:18:22"
"103.195.6.58","c2_havoc","443","Safe/Critical","US","2024-07-31 13:58:37"
"192.52.166.37","c2_havoc","443","Safe/Critical","JP","2024-07-31 08:33:02"
"209.226.68.244","c2_meshagent","80","Safe/Critical","US","2024-07-31 14:13:32"
"158.160.84.31","c2_havoc","443","Low/Critical","FR","2024-07-30 10:37:58"
"165.255.19.60","c2_meshagent","80","Moderate/Critical","NO","2024-07-31 14:22:41"
"209.160.67.123","c2_mythic","80","Safe/Critical","US","2024-07-31 07:01:47"
"209.160.68.249","c2_mythic","80","Safe/Critical","US","2024-07-31 07:01:03"
"77.92.95.144","c2_metasploit","3790","Critical/Critical","FR","2024-07-18 06:22:16"
"209.160.67.240","c2_mythic","80","Safe/Critical","US","2024-07-31 07:00:58"
"208.113.200.165","c2_meshagent","80","Safe/Critical","DE","2024-07-31 13:27:59"
"205.234.156.138","c2_metasploit","8080","Critical/Critical","US","2024-07-22 20:09:36"
"209.160.71.91","c2_mythic","80","Safe/Critical","US","2024-07-31 07:01:00"
"156.194.127.120","c2_posh","443","Safe/Critical","EG","2024-07-22 19:55:17"
"162.243.22.15","c2_metasploit","3790","Critical/Critical","US","2024-07-29 12:40:07"
"77.91.77.72","c2_metasploit","3790","Safe/Critical","IR","2024-07-18 06:26:32"
"209.89.8.92","c2_meshagent","80","Safe/Critical","DE","2024-07-31 13:55:52"
"209.160.69.34","c2_mythic","80","Safe/Critical","US","2024-07-31 07:01:36"
"88.17.150.110","c2_meshagent","443","Moderate/Critical","CA","2024-07-31 13:51:32"
"87.106.115.60","c2_meshagent","443","Moderate/Critical","US","2024-07-31 13:43:01"
"87.106.253.167","c2_meshagent","80","Low/Critical","US","2024-07-31 13:14:31"
"77.221.152.198","c2_metasploit","3790","Safe/Critical","GB","2024-07-18 06:22:13"
"20.51.213.216","c2_havoc","80","Low/Critical","NL","2024-07-31 10:59:06"
"103.16.181.123","c2_mythic","80","Critical/Critical","US","2024-07-31 07:56:00"
"87.193.224.4","c2_meshagent","80","Safe/Critical","US","2024-07-31 13:37:30"
"209.160.71.185","c2_mythic","80","Safe/Critical","US","2024-07-31 06:58:02"
"8.140.130.129","c2_metasploit","3790","Dangerous/Critical","CN","2024-07-18 06:35:15"
"68.183.19.125","c2_mythic","80","Critical/Critical","FR","2024-07-31 13:30:13"
"164.92.97.45","c2_meshagent","80","Low/Critical","DE","2024-07-31 13:29:21"
"209.95.52.173","c2_meshagent","80","Low/Critical","DE","2024-07-31 14:00:43"
"88.119.174.117","c2_covenant","7443","Safe/Critical","FR","2024-07-30 13:44:52"
"88.214.25.251","c2_metasploit","3790","Safe/Critical","NL","2024-07-18 07:17:08"
"209.160.67.230","c2_mythic","80","Safe/Critical","US","2024-07-31 06:58:15"
"212.87.213.116","c2_mythic","80","Safe/Critical","US","2024-07-31 07:01:20"
"65.109.133.88","c2_metasploit","3790","Moderate/Critical","GE","2024-07-18 06:22:16"
"77.92.95.143","c2_metasploit","3790","Critical/Critical","GB","2024-07-18 06:22:13"
"192.169.6.122","c2_havoc","443","Safe/Critical","CN","2024-07-31 08:13:26"
"65.109.128.33","c2_metasploit","443","Safe/Critical","DE","2024-07-30 12:42:54"
"101.42.21.172","c2_havoc","443","Dangerous/Critical","US","2024-07-31 02:07:24"
"88.119.167.206","c2_metasploit","3790","Safe/Critical","DE","2024-07-18 07:17:09"
"91.245.255.55","c2_metasploit","9001","Safe/Critical","NL","2024-07-23 01:17:05"
"165.227.229.96","c2_covenant","7443","Critical/Critical","US","2024-07-30 08:19:01"
"156.194.73.65","c2_posh","443","Safe/Critical","EG","2024-07-18 18:00:57"
"199.71.60.149","c2_mythic","80","Critical/Critical","US","2024-08-01 21:31:28"
"210.2.169.205","c2_havoc","443","Safe/Critical","PK","2024-07-31 14:33:38"
"40.114.228.224","c2_meshagent","80","Critical/Critical","AU","2024-08-02 02:18:30"
"98.142.95.254","c2_metasploit","3780","Safe/Critical","US","2024-07-20 13:49:18"
"38.54.119.251","c2_meshagent","443","Low/Critical","US","2024-08-02 00:31:24"
"141.98.233.72","c2_havoc","443","Low/Critical","BE","2024-08-01 06:24:35"
"146.71.86.14","c2_mythic","80","Critical/Critical","US","2024-08-01 13:13:25"
"95.216.201.166","c2_metasploit","3790","Safe/Critical","US","2024-07-18 09:13:30"
"196.112.189.186","c2_havoc","443","Safe/Critical","MA","2024-08-01 20:22:55"
"46.17.250.129","c2_meshagent","443","Low/Critical","IE","2024-08-02 04:34:00"
"45.79.238.51","c2_meshagent","80","Critical/Critical","CH","2024-08-02 04:10:55"
"52.205.241.18","c2_havoc","443","Low/Critical","GB","2024-08-01 18:22:45"
"72.11.148.153","c2_metasploit","3790","Safe/Critical","US","2024-07-18 06:11:57"
"45.9.63.71","c2_meshagent","80","Moderate/Critical","RU","2024-08-02 03:12:42"
"164.90.253.167","c2_havoc","443","Low/Critical","AU","2024-07-31 15:58:30"
"129.146.197.26","c2_mythic","80","Low/Critical","US","2024-08-01 04:27:56"
"45.32.140.174","c2_meshagent","80","Critical/Critical","CA","2024-08-02 03:23:45"
"129.80.2.53","c2_mythic","7443","Low/Critical","DE","2024-08-01 06:01:37"
"177.67.71.17","c2_havoc","443","Safe/Critical","US","2024-07-31 20:02:28"
"164.68.102.235","c2_havoc","443","Moderate/Critical","JP","2024-07-31 08:33:02"
"80.211.228.62","c2_havoc","80","Safe/Critical","US","2024-08-01 09:23:19"
"45.79.204.57","c2_mythic","80","Low/Critical","GB","2024-08-02 04:21:59"
"64.176.219.139","c2_havoc","443","Safe/Critical","HK","2024-07-29 12:48:22"
"45.62.205.137","c2_meshagent","80","Safe/Critical","US","2024-08-02 03:03:52"
"95.111.236.195","c2_mythic","443","Dangerous/Critical","CA","2024-08-01 21:44:20"
"88.214.25.227","c2_mythic","7443","Safe/Critical","SG","2024-08-01 05:55:21"
"176.31.163.140","c2_havoc","443","Low/Critical","BR","2024-07-31 21:05:28"
"35.238.61.25","c2_mythic","8866","Low/Critical","US","2024-08-01 21:15:11"
"162.55.91.224","c2_metasploit","3790","Critical/Critical","DE","2024-07-29 12:40:07"
"188.166.180.187","c2_mythic","443","Low/Critical","US","2024-08-01 17:32:35"
"64.23.182.107","c2_mythic","80","Critical/Critical","FI","2024-08-01 17:32:29"
"74.48.125.18","c2_metasploit","3790","Safe/Critical","US","2024-07-18 05:15:17"
"137.74.197.73","c2_havoc","443","Critical/Moderate","UA","2024-07-29 03:10:06"
"52.136.122.232","c2_meshagent","443","Critical/Critical","US","2024-08-02 02:49:55"
"66.115.138.116","c2_mythic","80","Critical/Critical","CA","2024-08-01 18:00:18"
"45.158.15.10","c2_meshagent","80","Safe/Critical","TR","2024-08-02 03:38:57"
"157.173.198.220","c2_covenant","7443","Safe/Critical","DE","2024-07-30 10:49:25"
"52.215.66.111","c2_mythic","80","Low/Critical","GB","2024-08-02 04:40:54"
"38.242.133.56","c2_meshagent","80","Critical/Critical","DE","2024-08-02 00:41:21"
"104.248.172.20","c2_mythic","443","Critical/Critical","US","2024-08-01 15:58:08"
"45.153.69.117","c2_meshagent","80","Moderate/Critical","DE","2024-08-02 03:36:22"
"40.118.6.151","c2_meshagent","80","Low/Critical","US","2024-08-02 01:19:18"
"192.163.197.248","c2_mythic","80","Safe/Critical","US","2024-08-02 00:41:22"
"161.35.239.100","c2_mythic","443","Critical/Critical","US","2024-08-01 05:06:39"
"178.63.172.20","c2_metasploit","80","Moderate/Critical","RU","2024-07-31 00:26:59"
"77.92.95.127","c2_metasploit","3790","Critical/Critical","GB","2024-07-18 06:22:13"
"107.172.57.113","c2_havoc","443","Moderate/Critical","US","2024-07-31 21:17:44"
"159.203.180.92","c2_mythic","80","Low/Critical","US","2024-08-01 06:20:37"
"88.119.174.117","c2_covenant","7443","Safe/Critical","GB","2024-07-30 09:15:05"
"156.194.251.137","c2_posh","443","Safe/Critical","EG","2024-07-21 10:19:27"
"63.250.44.135","c2_mythic","80","Critical/Critical","CA","2024-08-02 11:19:06"
"81.169.158.60","c2_havoc","443","Critical/Critical","DE","2024-08-01 23:43:24"
"18.221.38.55","c2_meshagent","443","Critical/Critical","RU","2024-08-03 02:03:06"
"82.157.65.5","c2_metasploit","3790","Critical/Critical","CN","2024-07-18 06:35:15"
"94.140.250.11","c2_meshagent","80","Safe/Critical","IT","2024-08-03 00:27:30"
"193.149.189.27","c2_havoc","443","Moderate/Critical","US","2024-08-01 17:33:30"
"185.38.142.151","c2_havoc","443","Moderate/Critical","AU","2024-08-01 06:02:43"
"1.34.253.61","c2_meshagent","443","Safe/Critical","MY","2024-08-03 02:12:40"
"107.172.6.180","c2_meshagent","443","Safe/Critical","US","2024-08-03 00:42:31"
"45.88.200.101","c2_mythic","80","Safe/Critical","GB","2024-08-02 04:21:59"
"113.52.155.59","c2_meshagent","443","Safe/Critical","IN","2024-08-03 02:56:32"
"65.1.73.232","c2_mythic","80","Critical/Critical","US","2024-08-02 10:34:28"
"109.165.232.247","c2_meshagent","80","Safe/Critical","US","2024-08-03 02:10:38"
"103.86.177.103","c2_metasploit","3790","Low/Critical","DE","2024-07-29 12:44:33"
"13.48.147.99","c2_mythic","80","Critical/Critical","US","2024-08-02 18:35:53"
"132.145.210.148","c2_mythic","80","Critical/Critical","FI","2024-08-02 11:52:39"
"18.118.127.246","c2_meshagent","443","Critical/Critical","US","2024-08-03 01:07:36"
"162.243.22.15","c2_metasploit","3790","Critical/Critical","US","2024-07-29 12:40:04"
"64.15.71.30","c2_mythic","443","Critical/Critical","US","2024-08-02 12:47:09"
"91.206.14.228","c2_havoc","443","Critical/Critical","US","2024-08-02 04:51:51"
"18.191.38.118","c2_meshagent","8443","Low/Critical","AR","2024-08-03 01:13:16"
"146.190.72.88","c2_havoc","80","Low/Critical","US","2024-08-01 17:58:47"
"89.58.9.56","c2_metasploit","3790","Safe/Critical","NL","2024-07-18 07:17:08"
"109.173.41.180","c2_meshagent","443","Moderate/Critical","BA","2024-08-03 02:05:25"
"107.191.57.153","c2_havoc","443","Safe/Critical","HK","2024-08-02 18:51:53"
"104.131.99.53","c2_mythic","80","Critical/Critical","CA","2024-08-02 21:42:49"
"212.47.237.233","c2_mythic","443","Moderate/Critical","DE","2024-08-02 16:40:11"
"205.234.156.139","c2_metasploit","3790","Critical/Critical","HK","2024-07-18 07:42:37"
"109.161.174.32","c2_meshagent","80","Safe/Critical","US","2024-08-03 01:27:28"
"212.87.213.116","c2_mythic","443","Safe/Critical","US","2024-08-02 14:50:38"
"18.212.57.12","c2_meshagent","443","Critical/Critical","DE","2024-08-03 02:02:43"
"49.13.116.197","c2_mythic","80","Critical/Critical","NL","2024-08-02 04:07:03"
"94.253.161.225","c2_meshagent","80","Safe/Critical","NL","2024-08-03 00:43:12"
"51.222.226.144","c2_mythic","80","Safe/Critical","US","2024-08-02 08:19:39"
"109.75.210.82","c2_meshagent","80","Safe/Critical","US","2024-08-03 01:22:53"
"88.99.213.30","c2_metasploit","3790","Critical/Critical","FR","2024-07-18 07:26:01"
"119.28.83.149","c2_havoc","80","Critical/Critical","NL","2024-08-02 17:54:57"
"77.91.77.72","c2_metasploit","3790","Safe/Critical","GE","2024-07-18 06:22:16"
"212.87.213.113","c2_mythic","443","Safe/Critical","DE","2024-08-02 16:27:45"
"91.223.82.25","c2_metasploit","3790","Critical/Critical","DE","2024-07-18 07:17:09"
"138.197.79.113","c2_havoc","443","Low/Critical","RU","2024-08-02 12:40:13"
"109.75.181.106","c2_meshagent","80","Moderate/Critical","US","2024-08-03 01:56:44"
"65.108.218.44","c2_mythic","443","Critical/Critical","US","2024-08-02 11:58:25"
"8.131.50.94","c2_metasploit","3790","Critical/Critical","RU","2024-07-18 07:14:47"
"111.118.36.69","c2_havoc","8443","Safe/Critical","HK","2024-08-02 19:47:41"
"68.183.19.125","c2_mythic","443","Critical/Critical","FR","2024-08-02 16:34:23"
"103.195.6.58","c2_havoc","80","Safe/Critical","NL","2024-08-02 22:34:44"
"77.92.95.144","c2_metasploit","3790","Critical/Critical","FR","2024-07-18 06:22:16"
"157.173.198.220","c2_covenant","7443","Safe/Critical","US","2024-07-30 08:19:01"
"156.194.127.120","c2_posh","443","Safe/Critical","EG","2024-07-21 10:19:27"
"93.93.129.174","c2_mythic","443","Safe/Safe","US","2024-08-03 13:45:56"
"52.205.241.18","c2_havoc","443","Low/Critical","US","2024-08-01 17:33:30"
"165.227.179.230","c2_meshagent","80","Low/Critical","IN","2024-08-04 03:30:05"
"205.234.156.138","c2_metasploit","6667","Critical/Critical","CN","2024-07-23 15:48:50"
"103.214.53.176","c2_meshagent","81","Moderate/Critical","ID","2024-08-04 02:45:02"
"54.153.244.10","c2_havoc","443","Critical/Critical","US","2024-08-03 02:47:45"
"165.22.216.48","c2_meshagent","80","Low/Critical","US","2024-08-04 03:34:55"
"165.22.4.51","c2_meshagent","80","Low/Critical","US","2024-08-04 02:47:50"
"78.47.2.195","c2_meshagent","80","Low/Critical","DE","2024-08-04 04:47:15"
"164.90.253.167","c2_havoc","443","Low/Critical","US","2024-08-03 14:19:51"
"103.185.44.231","c2_havoc","8443","Dangerous/Critical","US","2024-08-03 15:12:46"
"72.11.148.153","c2_metasploit","3790","Safe/Critical","US","2024-07-18 05:15:17"
"104.37.234.2","c2_meshagent","443","Moderate/Critical","US","2024-08-04 03:33:09"
"13.73.204.132","c2_mythic","80","Critical/Critical","US","2024-08-03 11:28:24"
"77.10.85.12","c2_meshagent","80","Safe/Critical","GB","2024-08-04 04:02:51"
"107.161.22.118","c2_mythic","443","Critical/Critical","US","2024-08-03 00:00:09"
"35.233.38.208","c2_covenant","443","Low/Critical","BE","2024-07-13 06:14:19"
"77.92.95.143","c2_metasploit","3790","Critical/Critical","FR","2024-07-18 06:22:16"
"152.42.140.119","c2_metasploit","3790","Low/Critical","HK","2024-07-18 07:42:37"
